state,a,b,(,),*,+,-,^,/,$,£4,£5,T,E,F,X,£1,£2,£3
S0,S1,S2,S3,,,,,,,,,,4,24,11,17,,,
S1,,,,X->a ,X->a ,X->a ,X->a ,X->a ,X->a ,X->a ,,,,,,,,,
S2,,,,X->b ,X->b ,X->b ,X->b ,X->b ,X->b ,X->b ,,,,,,,,,
S3,S1,S2,S3,,,,,,,,,,4,22,11,17,,,
S4,,,,£1->>EPS< ,,S5,S6,,,£1->>EPS< ,,,,,,,7,8,
S5,£2->+ ,£2->+ ,£2->+ ,,,,,,,,,,,,,,,,
S6,£2->- ,£2->- ,£2->- ,,,,,,,,,,,,,,,,
S7,,,,E->T £1 ,,,,,,E->T £1 ,,,,,,,,,
S8,S1,S2,S3,,,,,,,,,,9,,11,17,,,
S9,,,,£1->>EPS< ,,S5,S6,,,£1->>EPS< ,,,,,,,10,8,
S10,,,,£1->£2 T £1 ,,,,,,£1->£2 T £1 ,,,,,,,,,
S11,,,,£3->>EPS< ,S12,£3->>EPS< ,£3->>EPS< ,,S13,£3->>EPS< ,14,,,,,,,,21
S12,£4->* ,£4->* ,£4->* ,,,,,,,,,,,,,,,,
S13,£4->/ ,£4->/ ,£4->/ ,,,,,,,,,,,,,,,,
S14,S1,S2,S3,,,,,,,,,,,,15,17,,,
S15,,,,£3->>EPS< ,S12,£3->>EPS< ,£3->>EPS< ,,S13,£3->>EPS< ,14,,,,,,,,16
S16,,,,£3->£4 F £3 ,,£3->£4 F £3 ,£3->£4 F £3 ,,,£3->£4 F £3 ,,,,,,,,,
S17,,,,£5->>EPS< ,£5->>EPS< ,£5->>EPS< ,£5->>EPS< ,S18,£5->>EPS< ,£5->>EPS< ,,20,,,,,,,
S18,S1,S2,S3,,,,,,,,,,,,19,17,,,
S19,,,,£5->^ F ,£5->^ F ,£5->^ F ,£5->^ F ,,£5->^ F ,£5->^ F ,,,,,,,,,
S20,,,,F->X £5 ,F->X £5 ,F->X £5 ,F->X £5 ,,F->X £5 ,F->X £5 ,,,,,,,,,
S21,,,,T->F £3 ,,T->F £3 ,T->F £3 ,,,T->F £3 ,,,,,,,,,
S22,,,,S23,,,,,,,,,,,,,,,
S23,,,,X->( E ) ,X->( E ) ,X->( E ) ,X->( E ) ,X->( E ) ,X->( E ) ,X->( E ) ,,,,,,,,,
S24,,,,,,,,,,S25,,,,,,,,,
S25,Accept
